DATE,Minimum,Maximum,Precipitation
1/1/1900,40,50,0
1/2/1900,46,54,0.3
1/3/1900,43,49,0.09
1/4/1900,43,47,0.12
1/5/1900,36,43,0
1/6/1900,33,38,0
1/7/1900,33,43,0.15
1/8/1900,36,47,0.02
1/9/1900,36,49,0.04
1/10/1900,34,45,0.03
1/11/1900,37,44,0
1/12/1900,30,39,0
1/13/1900,25,34,0
1/14/1900,24,29,0
1/15/1900,25,40,0.26
1/16/1900,37,53,0.24
1/17/1900,45,55,0.29
1/18/1900,37,46,0
1/19/1900,33,45,0
1/20/1900,41,48,0.27
1/21/1900,45,52,0.17
1/22/1900,45,52,0
1/23/1900,44,52,0
1/24/1900,44,54,0.15
1/25/1900,42,49,0
1/26/1900,40,49,0.13
1/27/1900,34,46,0.25
1/28/1900,31,40,0.12
1/29/1900,32,35,0.08
1/30/1900,34,36,0.02
1/31/1900,34,37,0
2/1/1900,33,37,0.17
2/2/1900,37,43,0.55
2/3/1900,34,43,0
2/4/1900,32,43,0.02
2/5/1900,38,47,0.07
2/6/1900,32,42,0.1
2/7/1900,28,37,0
2/8/1900,26,38,0
2/9/1900,26,35,0
2/10/1900,20,36,0.25
2/11/1900,28,42,0
2/12/1900,26,37,0.07
2/13/1900,29,50,0.4
2/14/1900,32,46,0.05
2/15/1900,29,44,0.27
2/16/1900,40,51,0.07
2/17/1900,38,51,0.06
2/18/1900,39,50,0.11
2/19/1900,45,55,0.1
2/20/1900,41,50,0.05
2/21/1900,34,46,0.04
2/22/1900,35,54,0.11
2/23/1900,48,58,0.01
2/24/1900,46,62,0
2/25/1900,48,62,0.27
2/26/1900,46,59,0.07
2/27/1900,46,51,0.17
2/28/1900,45,48,0.03
3/1/1900,31,45,0
3/2/1900,27,40,0
3/3/1900,33,41,0
3/4/1900,28,39,0
3/5/1900,27,37,0
3/6/1900,33,38,0
3/7/1900,35,41,0
3/8/1900,34,44,0
3/9/1900,31,55,0
3/10/1900,36,60,0
3/11/1900,36,62,0.05
3/12/1900,43,57,0.03
3/13/1900,36,47,0
3/14/1900,35,45,0
3/15/1900,40,49,0.01
3/16/1900,36,49,0.29
3/17/1900,30,44,0
3/18/1900,26,46,0
3/19/1900,39,47,0.21
3/20/1900,34,53,0
3/21/1900,37,50,0.15
3/22/1900,41,57,0
3/23/1900,38,47,0.02
3/24/1900,35,39,0.02
