Date,TMIN,TMAX,TEMP,Wind Gust,Precipitation
1869-01-01,19,29,,,
1869-01-02,21,27,,,
1869-01-03,27,35,,,
1869-01-04,34,37,,,
1869-01-05,37,43,,,
1869-01-06,34,38,,,
1869-01-07,35,48,,,
1869-01-08,40,54,,,
1869-01-09,38,48,,,
1869-01-10,33,44,,,
1869-01-11,30,33,,,
1869-01-12,29,37,,,
1869-01-13,28,38,,,
1869-01-14,32,42,,,
1869-01-15,39,42,,,
1869-01-16,32,38,,,
1869-01-17,29,35,,,
1869-01-18,26,29,,,
1869-01-19,27,34,,,
1869-01-20,30,37,,,
1869-01-21,29,42,,,
1869-01-22,17,29,,,
1869-01-23,20,39,,,
1869-01-24,35,48,,,
1869-01-25,22,38,,,
1869-01-26,18,31,,,
1869-01-27,23,40,,,
1869-01-28,35,47,,,
1869-01-29,30,48,,,
1869-01-30,41,54,,,
1869-01-31,30,41,,,
1869-02-01,25,33,,,
1869-02-02,22,34,,,
1869-02-03,35,36,,,
1869-02-04,21,38,,,
1869-02-05,22,26,,,
1869-02-06,26,40,,,
1869-02-07,23,36,,,
1869-02-08,25,40,,,
1869-02-09,34,38,,,
1869-02-10,34,39,,,
1869-02-11,38,46,,,
1869-02-12,36,48,,,
1869-02-13,40,61,,,
1869-02-14,35,42,,,
1869-02-15,32,43,,,
1869-02-16,36,44,,,
1869-02-17,34,46,,,
1869-02-18,30,41,,,
1869-02-19,30,42,,,
1869-02-20,32,39,,,
1869-02-21,33,40,,,
1869-02-22,38,50,,,
1869-02-23,33,44,,,
1869-02-24,27,38,,,
1869-02-25,26,38,,,
1869-02-26,31,34,,,
1869-02-27,22,31,,,
1869-02-28,17,25,,,
1869-03-01,4,26,,,
1869-03-02,19,36,,,
1869-03-03,28,43,,,
1869-03-04,19,44,,,
1869-03-05,11,35,,,
1869-03-06,20,36,,,
1869-03-07,20,26,,,
1869-03-08,26,38,,,
1869-03-09,32,46,,,
1869-03-10,38,47,,,
1869-03-11,28,37,,,
1869-03-12,27,38,,,
1869-03-13,33,52,,,
