Date time,Minimum Temperature,Maximum Temperature,Temperature,Average,Precipitation
12/31/1972,60.9,82.5,73.5,,0
1/1/1973,60.9,86.1,75,73,0
1/2/1973,66.3,86.1,76,76,0
1/3/1973,69.9,84.3,74.9,75,0
1/4/1973,66.3,86.1,76.2,76,0
1/5/1973,71.7,82.5,77.4,79,0
1/6/1973,68.1,86.1,75.6,76,0
1/7/1973,66.3,77.1,71.4,72,0
1/8/1973,62.7,77.1,69.9,70,0
1/9/1973,57.3,78.9,66.8,67,0
1/10/1973,62.7,80.7,71.4,72,0
1/11/1973,64.5,77.1,70.5,70,0
1/12/1973,66.3,78.9,71.5,73,0
1/13/1973,59.1,78.9,70.2,69,0
1/14/1973,59.1,82.5,70.8,71,0
1/15/1973,60.9,82.5,71,73,0
1/16/1973,60.9,84.3,71.4,72,0
1/17/1973,62.7,82.5,70.2,70,0
1/18/1973,62.7,80.7,70.6,72,0
1/19/1973,66.3,78.9,71.2,74,0
1/20/1973,66.3,84.3,73.3,67,0
1/21/1973,60.9,73.5,67.9,73,0
1/22/1973,55.5,60.9,58.2,77,0
1/23/1973,59.1,87.9,75,72,0
1/24/1973,62.7,89.7,75.5,71,0
1/25/1973,66.3,80.7,72.7,64,0
1/26/1973,62.7,82.5,69.9,64,0
1/27/1973,59.1,73.5,65.2,76,0
1/28/1973,57.3,75.3,64.2,75,0
1/29/1973,60.9,89.7,72.4,72,0
1/30/1973,59.1,86.1,73.5,72,0
1/31/1973,64.5,78.9,72.6,66,0
2/1/1973,59.1,86.1,71.5,72,0
2/2/1973,59.1,78.9,65.9,72,0
2/3/1973,60.9,80.7,70.7,72,0
2/4/1973,59.1,82.5,71.7,75,0
2/5/1973,57.3,80.7,71.5,76,0
2/6/1973,60.9,89.7,73.5,73,0
2/7/1973,66.3,86.1,76.9,84,0
2/8/1973,66.3,82.5,72.6,79,0
2/9/1973,64.5,82.5,73,79,0
2/10/1973,71.7,91.5,84.3,81,0
2/11/1973,64.5,91.5,78.9,78,0
2/12/1973,66.3,95.1,79.5,74,0
2/13/1973,68.1,91.5,80.2,73,0
2/14/1973,68.1,87.9,77.5,74,0
2/15/1973,64.5,82.5,73.2,79,0
2/16/1973,64.5,82.5,72.9,81,0
2/17/1973,64.5,84.3,75.3,83,0
2/18/1973,64.5,91.5,78,85,0
2/19/1973,73.5,87.9,79.1,80,0
2/20/1973,75.3,93.3,83.5,83,0
2/21/1973,78.9,91.5,84.3,81,0
2/22/1973,77.1,86.1,80.1,77,0
2/23/1973,73.5,96.9,83.1,79,0
2/24/1973,,,,80,
2/25/1973,71.7,91.5,81.2,80,0
2/26/1973,64.5,87.9,76.6,79,0
2/27/1973,75.3,82.5,78.6,82,0
2/28/1973,75.3,84.3,79.8,77,0
3/1/1973,75.3,82.5,78.9,83,0
3/2/1973,68.1,86.1,79.4,80,0
3/3/1973,69.9,89.7,81,77,0
3/4/1973,69.9,89.7,77.4,78,0
3/5/1973,69.9,95.1,83.3,78,0
3/6/1973,69.9,91.5,79.3,77,0
3/7/1973,69.9,86.1,76.9,75,0
3/8/1973,71.7,86.1,78.1,73,0
3/9/1973,69.9,86.1,76.9,77,0
3/10/1973,71.7,82.5,77.1,80,0
3/11/1973,71.7,80.7,75.8,79,0
3/12/1973,66.3,82.5,73.5,84,0
3/13/1973,66.3,91.5,75.1,80,0
3/14/1973,64.5,89.7,78.4,79,0
3/15/1973,73.5,89.7,80.2,79,0
3/16/1973,68.1,96.9,81.4,83,0
3/17/1973,77.1,84.3,79.6,79,0
3/18/1973,71.7,89.7,79.8,79,0
3/19/1973,69.9,87.9,78,83,0
3/20/1973,71.7,89.7,82,85,0
3/21/1973,75.3,91.5,84.6,84,0
3/22/1973,73.5,87.9,78.7,83,0
3/23/1973,71.7,84.3,78.3,81,0
3/24/1973,71.7,93.3,82.2,83,0
