Date,Minimum,Maximum,Temperature
1/17/1963,47.9,47.9,47.9
1/18/1963,46.1,59.1,51.1
1/19/1963,38.9,53.9,45.4
1/21/1963,43.1,56.9,49.3
1/22/1963,52.1,52.1,52.1
1/24/1963,52.1,53.9,53
1/25/1963,47.9,50.1,49
1/26/1963,59.1,59.1,59.1
1/27/1963,52.1,52.1,52.1
1/28/1963,53.9,53.9,53.9
1/29/1963,50.1,59.1,53.1
1/30/1963,61.1,62.9,62
1/31/1963,52.1,56.9,53.7
2/1/1963,44.9,44.9,44.9
2/2/1963,41.1,55.1,48
2/3/1963,37.1,41.1,39.1
2/4/1963,41.1,41.1,41.1
2/5/1963,32.1,43.1,37.6
2/6/1963,34.1,52.1,44.8
2/7/1963,34.1,43.1,38.6
2/8/1963,37.1,47.9,42.5
2/9/1963,29.9,47.9,37.9
2/10/1963,34.1,43.1,37.7
2/11/1963,32.1,44.9,37.9
2/12/1963,38.9,50.1,44.6
2/13/1963,46.1,52.1,48.7
2/14/1963,55.1,55.1,55.1
2/15/1963,46.1,61.1,54.7
2/16/1963,46.1,55.1,51.1
2/17/1963,50.1,56.9,53.5
2/18/1963,53.9,61.1,57.5
2/19/1963,53.9,64.1,59.7
2/20/1963,50.1,55.1,52.6
2/21/1963,52.1,59.1,55.4
2/22/1963,53.9,62.9,58.4
2/23/1963,53.9,65.9,61.3
2/24/1963,56.9,64.1,60.5
2/25/1963,55.1,55.1,55.1
2/26/1963,53.9,53.9,53.9
2/27/1963,47.9,55.1,51.1
2/28/1963,47.9,50.1,49
3/1/1963,41.1,61.1,51.4
3/2/1963,47.9,55.1,50.3
3/3/1963,55.1,55.1,55.1
3/4/1963,37.1,52.1,44.6
3/5/1963,37.1,59.1,48.6
3/6/1963,41.1,52.1,47.2
3/7/1963,46.1,46.1,46.1
3/8/1963,41.1,41.1,41.1
3/9/1963,28.1,55.1,41.4
3/10/1963,35.9,55.1,45.5
3/11/1963,52.1,62.9,56.3
3/12/1963,44.9,59.1,52.6
3/13/1963,43.1,56.9,49.1
3/14/1963,50.1,62.9,56.5
3/15/1963,44.9,62.9,54.9
3/16/1963,53.9,59.1,56.5
3/17/1963,52.1,55.1,53.6
3/18/1963,50.1,59.1,54.3
3/19/1963,53.9,56.9,55.4
3/20/1963,46.1,50.1,48.1
3/21/1963,44.9,44.9,44.9
3/22/1963,47.9,56.9,52.3
3/23/1963,41.1,62.9,50
3/24/1963,46.1,68.1,59.4
3/25/1963,62.9,71.9,67.6
3/26/1963,62.9,70.1,67
3/27/1963,52.1,52.1,52.1
3/28/1963,47.9,59.1,51.3
3/29/1963,43.1,59.1,52.4
3/30/1963,70.1,70.1,70.1
3/31/1963,53.9,64.1,58.3
4/1/1963,55.1,64.1,59.5
4/2/1963,50.1,70.1,59.6
4/3/1963,53.9,68.1,62.2
4/4/1963,59.1,68.1,65.1
4/5/1963,62.9,70.1,65.7
4/6/1963,56.9,70.1,64.3
4/7/1963,64.1,68.1,66.1
4/8/1963,62.9,62.9,62.9
4/9/1963,61.1,61.1,61.1
4/10/1963,64.1,73.1,67.1
4/11/1963,64.1,64.1,64.1
4/12/1963,68.1,77.1,71.1
4/13/1963,53.9,68.1,62
4/14/1963,52.1,70.1,61.7
4/15/1963,61.1,61.1,61.1
4/16/1963,61.1,68.1,64.6
4/17/1963,50.1,79.1,65
4/18/1963,56.9,77.1,69
4/19/1963,68.1,68.1,68.1
4/20/1963,53.9,71.9,63.2
4/21/1963,74.9,74.9,74.9
4/22/1963,59.1,73.1,66.1
4/23/1963,53.9,70.1,61.8
4/24/1963,53.9,62.9,58.4
4/25/1963,52.1,62.9,56.7
4/26/1963,47.9,71.9,61.6
4/27/1963,,,
4/28/1963,68.1,70.1,69.1
4/29/1963,59.1,70.1,65
4/30/1963,50.1,71.9,61
5/1/1963,59.1,79.1,69.1
5/2/1963,,,
5/3/1963,50.1,50.1,50.1
5/4/1963,47.9,47.9,47.9
5/5/1963,53.9,65.9,61.7
5/6/1963,68.1,68.1,68.1
5/7/1963,52.1,73.1,65.1
5/8/1963,68.1,74.9,71.5
5/9/1963,62.9,74.9,70.3
5/10/1963,68.1,68.1,68.1
5/11/1963,53.9,64.1,59
5/12/1963,52.1,56.9,54.5
5/13/1963,47.9,65.9,59.7
5/14/1963,56.9,59.1,58
5/15/1963,62.9,73.1,69.3
5/16/1963,68.1,79.1,73.5
5/17/1963,61.1,74.9,66.3
5/18/1963,52.1,52.1,52.1
5/19/1963,68.1,68.1,68.1
5/20/1963,59.1,80.9,70.6
5/21/1963,65.9,77.1,72.1
5/22/1963,59.1,80.9,70.5
5/23/1963,82.1,82.1,82.1
5/24/1963,83.9,83.9,83.9
5/25/1963,65.9,80.9,73.4
5/26/1963,59.1,79.1,71.8
5/27/1963,53.9,53.9,53.9
5/28/1963,,,
5/29/1963,68.1,80.9,74.5
5/30/1963,71.9,80.9,76.4
5/31/1963,73.1,74.9,74
6/1/1963,68.1,88.1,80.8
6/2/1963,73.1,91.1,82.1
6/3/1963,73.1,95.1,86.8
6/4/1963,71.9,89.9,81.3
6/5/1963,65.9,92.9,80.5
6/6/1963,86.1,95.1,90.8
6/7/1963,74.9,92.9,85.2
6/8/1963,80.9,91.1,86
6/9/1963,73.1,86.1,81.8
6/10/1963,71.9,91.1,81.5
6/11/1963,74.9,89.9,83.7
6/12/1963,71.9,86.1,79
6/13/1963,62.9,86.1,76.3
6/14/1963,71.9,91.1,83
6/15/1963,77.1,88.1,83.8
6/16/1963,71.9,95.1,83
6/17/1963,61.1,89.9,78.6
6/18/1963,61.1,83.9,73
6/19/1963,68.1,92.9,82.2
6/20/1963,74.9,95.1,87.1
6/21/1963,80.9,95.1,87.5
6/22/1963,70.1,92.9,82.2
6/23/1963,64.1,91.1,81.3
6/24/1963,62.9,83.9,76.2
6/25/1963,70.1,86.1,78.5
6/26/1963,88.1,95.1,91.6
6/27/1963,82.1,97.1,91.4
6/28/1963,83.9,95.1,89
6/29/1963,68.1,88.1,79
6/30/1963,71.9,89.9,80.9
7/1/1963,73.1,89.9,81.9
7/2/1963,82.1,92.9,86.8
7/3/1963,77.1,97.1,88
7/4/1963,79.1,89.9,85.6
