Date time,Minimum Temperature,Maximum Temperature,Temperature,Wind Gust,Precipitation
8/1/1929,56.9,65,59.2,,0
8/2/1929,53.9,62,57.5,,0
8/3/1929,51.2,61.1,56.8,,0
8/4/1929,53.9,65.9,61,,0
8/5/1929,53,65,59,,0
8/6/1929,56,62.9,59.4,,0
8/7/1929,56,62.9,58.7,,0
8/8/1929,51.2,66.8,59.5,,0
8/9/1929,55.1,62.9,59,,0
8/10/1929,56.9,71.9,63.4,,0
8/11/1929,59.1,71.9,65.5,,0
8/12/1929,56,69.2,62.6,,0
8/13/1929,53.9,70.1,61.7,,0
8/14/1929,56,70.1,63,,0
8/15/1929,51.2,66.8,59,,0
8/16/1929,52.1,69.2,59.6,,0
8/17/1929,55.1,65.9,60.8,,0
8/18/1929,55.1,62,57.8,,0
8/19/1929,53,62,57.7,,0
8/20/1929,53.9,66.8,59.7,,0
8/21/1929,53,69.2,60.6,,0
8/22/1929,57.8,66.8,62.1,,0
8/23/1929,59.1,74,65.8,,0
8/24/1929,61.1,71,65.8,,0
8/25/1929,61.1,73.1,66.3,,0
8/26/1929,53.9,73.1,63.3,,0
8/27/1929,56,80,66.5,,0
8/28/1929,62.9,71,65.4,,0
8/29/1929,57.8,70.1,62.9,,0
8/30/1929,53.9,73.1,63.3,,0
8/31/1929,57.8,84.8,70.1,,0
9/1/1929,61.1,71,65.5,,0
9/2/1929,56,73.1,64.5,,0
9/3/1929,57.8,66.8,62.6,,0
9/4/1929,56,87.2,70.8,,0
9/5/1929,62,80.9,71.6,,0
9/6/1929,59.1,73.1,66.8,,0
9/7/1929,55.1,74.9,65.7,,0
9/8/1929,57.8,80.9,69.3,,0
9/9/1929,61.1,82.1,71.1,,0
9/10/1929,60.2,73.1,64.8,,0
9/11/1929,53,74.9,63.1,,0
9/12/1929,56.9,79.1,68.7,,0
9/13/1929,60.2,73.1,66.6,,0
9/14/1929,55.1,70.1,62.8,,0
9/15/1929,52.1,70.1,61,,0
9/16/1929,56.9,68.1,63,,0
9/17/1929,59.1,69.2,64.4,,0
9/18/1929,57.8,62.9,60.4,,0
9/19/1929,52.1,62.9,58.5,,0
9/20/1929,57.8,64.1,60,,0
9/21/1929,47,65,56.7,,0
9/22/1929,50.1,64.1,57.1,,0
9/23/1929,50.1,68.1,59,,0
9/24/1929,53,65.9,58.9,,0
9/25/1929,47.9,70.1,56.7,,0
9/26/1929,44.9,73.1,57,,0
9/27/1929,47.9,74.9,59.5,,0
9/28/1929,57.8,74,63.1,,0
9/29/1929,57.8,66.8,61.1,,0
9/30/1929,51.2,64.1,58.1,,0
10/1/1929,47,59,54.4,,0
10/2/1929,56.9,60.9,58.4,,0
10/3/1929,54.2,57,55.6,,0
10/4/1929,44.5,56.1,51,,0
10/5/1929,44.3,60.5,52.2,,0
10/6/1929,47.1,55.7,52.9,,0
10/7/1929,44.5,57.8,51,,0
10/8/1929,53,56,55,,0
10/9/1929,41.8,52.7,47.6,,0
10/10/1929,44.9,57.6,51.3,,0
10/11/1929,53.9,61.3,57.7,,0
10/12/1929,52.1,62.9,56.3,,0
10/13/1929,53.5,60.2,56.7,,0
10/14/1929,47.6,60.5,54.8,,0
10/15/1929,47.5,57.3,52.6,,0
10/16/1929,53,63.4,56.9,,0
10/17/1929,49.5,60.6,54.6,,0
10/18/1929,47.1,53.9,50.3,,0
10/19/1929,37.5,50.9,43.2,,0
