Date,Minimum,Maximum,Average,Precipitation
1/1/1983,57,82,67,
1/2/1983,56,86,68,
1/3/1983,58,77,66,
1/4/1983,60,74,67,
1/5/1983,58,,65,
1/6/1983,57,74,66,
1/7/1983,,74,66,
1/8/1983,56,73,63,
1/9/1983,,81,65,
1/10/1983,58,74,66,
1/11/1983,57,72,62,
1/12/1983,53,72,62,
1/13/1983,53,,63,
1/14/1983,53,72,63,
1/15/1983,58,80,65,
1/16/1983,,73,61,
1/17/1983,52,71,61,
1/18/1983,51,74,63,
1/19/1983,55,82,69,
1/20/1983,,,64,
1/21/1983,,66,62,
1/22/1983,54,68,59,
1/23/1983,,72,61,
1/24/1983,57,74,66,
1/25/1983,62,68,64,
1/26/1983,62,68,65,
1/27/1983,61,69,65,
1/28/1983,56,68,64,
1/29/1983,56,69,64,
1/30/1983,,67,63,
1/31/1983,,67,63,
2/1/1983,,67,62,
2/2/1983,52,70,60,
2/3/1983,50,68,60,
2/4/1983,,67,59,
2/5/1983,53,70,63,
2/6/1983,55,69,63,
2/7/1983,58,73,63,
2/8/1983,57,72,65,
2/9/1983,61,70,66,
2/10/1983,,78,69,
2/11/1983,,64,61,
2/12/1983,58,66,61,
2/13/1983,56,68,63,
2/14/1983,,67,61,
2/15/1983,53,71,61,
2/16/1983,,71,63,
2/17/1983,54,82,70,
2/18/1983,,73,68,
2/19/1983,62,80,71,
2/20/1983,64,80,70,
2/21/1983,59,83,69,
2/22/1983,62,78,69,
2/23/1983,,71,64,
2/24/1983,,69,62,
2/25/1983,53,70,60,
2/26/1983,54,,66,
2/27/1983,60,,73,
2/28/1983,,74,65,
3/1/1983,,67,61,
3/2/1983,55,68,62,
3/3/1983,54,69,61,
3/4/1983,54,72,62,
3/5/1983,,85,74,
3/6/1983,67,,76,
3/7/1983,,76,66,
3/8/1983,,69,63,
3/9/1983,55,72,65,
3/10/1983,,72,65,
3/11/1983,53,73,64,
3/12/1983,59,,65,
3/13/1983,64,72,67,
3/14/1983,,73,67,
3/15/1983,,74,67,
3/16/1983,64,,69,
3/17/1983,63,83,69,
3/18/1983,64,71,67,
3/19/1983,59,72,65,
3/20/1983,,73,65,
3/21/1983,55,74,66,
3/22/1983,62,86,73,
3/23/1983,67,79,72,
3/24/1983,,75,69,
3/25/1983,60,74,67,
3/26/1983,58,77,67,
3/27/1983,56,82,69,
3/28/1983,58,82,70,
3/29/1983,60,84,70,
3/30/1983,60,87,71,
3/31/1983,65,80,73,
4/1/1983,64,78,70,
4/2/1983,,77,68,
4/3/1983,59,,67,
4/4/1983,65,,72,
4/5/1983,,73,67,
4/6/1983,62,75,68,
4/7/1983,62,76,69,
4/8/1983,62,82,72,
4/9/1983,63,88,76,
4/10/1983,,85,73,
4/11/1983,,83,75,
4/12/1983,68,85,75,
4/13/1983,,83,74,
4/14/1983,,81,74,
4/15/1983,62,79,70,
4/16/1983,63,82,73,
4/17/1983,63,87,74,
4/18/1983,64,94,78,
4/19/1983,69,94,80,
4/20/1983,69,93,80,
4/21/1983,,89,78,
4/22/1983,67,90,79,
4/23/1983,71,93,80,
4/24/1983,,92,81,
4/25/1983,72,94,82,
4/26/1983,71,89,78,
4/27/1983,,87,75,
4/28/1983,66,93,79,
4/29/1983,71,94,82,
4/30/1983,69,,79,
5/1/1983,,89,80,
5/2/1983,74,96,87,
5/3/1983,,92,82,
5/4/1983,67,85,77,
5/5/1983,69,89,78,
5/6/1983,71,96,83,
5/7/1983,72,97,85,
5/8/1983,73,98,85,
5/9/1983,76,96,86,
5/10/1983,81,99,88,
5/11/1983,75,99,88,
5/12/1983,76,98,87,
5/13/1983,75,98,87,
5/14/1983,80,104,90,
5/15/1983,82,105,91,
5/16/1983,80,106,93,
5/17/1983,81,105,92,
5/18/1983,79,107,89,
5/19/1983,79,103,89,
5/20/1983,78,96,88,
5/21/1983,,98,87,
5/22/1983,80,99,90,
5/23/1983,,103,88,
5/24/1983,81,,92,
5/25/1983,82,109,94,
5/26/1983,79,107,91,
5/27/1983,,101,90,
5/28/1983,77,97,88,
5/29/1983,,101,90,
5/30/1983,,100,89,
5/31/1983,76,94,85,
6/1/1983,,97,86,
6/2/1983,79,103,90,
6/3/1983,,110,93,
6/4/1983,82,107,93,
6/5/1983,81,101,90,
6/6/1983,82,101,90,
6/7/1983,,105,89,
6/8/1983,79,104,89,
6/9/1983,80,108,90,
6/10/1983,79,102,89,
6/11/1983,78,104,87,
6/12/1983,78,101,89,
6/13/1983,,,90,
6/14/1983,,99,87,
6/15/1983,78,99,89,
6/16/1983,85,104,92,
6/17/1983,,101,91,
6/18/1983,80,98,90,
6/19/1983,77,100,89,
6/20/1983,79,100,88,
6/21/1983,76,100,88,
6/22/1983,79,98,89,
6/23/1983,78,99,89,
6/24/1983,80,103,89,
6/25/1983,80,109,93,
6/26/1983,82,108,94,
6/27/1983,82,107,92,
6/28/1983,82,100,90,
6/29/1983,82,105,92,
6/30/1983,,100,90,
7/1/1983,,99,87,
7/2/1983,,98,88,
7/3/1983,78,104,91,
7/4/1983,,103,91,
7/5/1983,84,103,91,
7/6/1983,80,98,89,
7/7/1983,,103,92,
7/8/1983,,107,92,
7/9/1983,82,103,92,
7/10/1983,85,103,92,
7/11/1983,84,108,94,
7/12/1983,84,106,92,
7/13/1983,82,117,99,
7/14/1983,,111,97,
7/15/1983,82,112,96,
7/16/1983,81,109,92,
7/17/1983,80,102,90,
7/18/1983,,107,91,
7/19/1983,83,110,94,
7/20/1983,86,115,96,
7/21/1983,86,,97,
7/22/1983,87,105,96,
7/23/1983,,110,96,
7/24/1983,90,108,97,
7/25/1983,91,106,96,
7/26/1983,89,103,94,
7/27/1983,,,93,
7/28/1983,90,106,95,
7/29/1983,,101,93,
7/30/1983,,103,92,
7/31/1983,86,100,93,
8/1/1983,,100,92,
8/2/1983,,104,96,
8/3/1983,,107,96,
8/4/1983,,107,96,
8/5/1983,91,,96,
8/6/1983,,105,96,
8/7/1983,89,107,96,
8/8/1983,88,102,94,
8/9/1983,89,101,94,
8/10/1983,,103,95,
8/11/1983,,99,91,
8/12/1983,83,101,92,
8/13/1983,86,99,91,
8/14/1983,,103,94,
8/15/1983,87,107,95,
8/16/1983,87,107,96,
8/17/1983,,105,96,
8/18/1983,,110,95,
8/19/1983,86,106,96,
8/20/1983,88,108,97,
8/21/1983,88,112,98,
8/22/1983,,111,98,
8/23/1983,90,111,98,
8/24/1983,,108,96,
8/25/1983,,104,94,
8/26/1983,86,101,93,
8/27/1983,84,104,92,
8/28/1983,83,104,92,
8/29/1983,84,106,94,
8/30/1983,85,105,94,
8/31/1983,87,105,95,
9/1/1983,85,106,93,
9/2/1983,83,103,92,
9/3/1983,84,103,91,
9/4/1983,,101,91,
9/5/1983,,101,92,
9/6/1983,84,99,91,
9/7/1983,87,,93,
9/8/1983,85,106,93,
9/9/1983,84,105,93,
9/10/1983,86,101,92,
9/11/1983,,98,90,
9/12/1983,83,100,90,
9/13/1983,83,102,91,
9/14/1983,,96,88,
9/15/1983,,96,87,
9/16/1983,78,94,88,
9/17/1983,80,,89,
9/18/1983,78,101,90,
9/19/1983,79,103,89,
9/20/1983,77,97,87,
9/21/1983,78,94,86,
9/22/1983,77,95,87,
9/23/1983,78,104,88,
9/24/1983,78,,89,
9/25/1983,74,101,87,
9/26/1983,74,103,88,
9/27/1983,,101,87,
9/28/1983,75,99,86,
9/29/1983,79,97,86,
9/30/1983,,97,87,
10/1/1983,,98,87,
10/2/1983,78,99,89,
10/3/1983,71,98,87,
10/4/1983,75,98,86,
10/5/1983,75,96,86,
10/6/1983,77,96,87,
10/7/1983,77,96,86,
10/8/1983,,91,83,
10/9/1983,70,91,83,
10/10/1983,,98,84,
10/11/1983,72,96,84,
10/12/1983,,94,83,
10/13/1983,70,,81,
10/14/1983,70,94,82,
10/15/1983,72,91,82,
10/16/1983,71,94,83,
10/17/1983,,,83,
10/18/1983,72,93,83,
10/19/1983,,,83,
10/20/1983,71,96,82,
10/21/1983,,93,82,
10/22/1983,73,92,82,
10/23/1983,,91,82,0.16
10/24/1983,72,92,81,0
10/25/1983,71,91,82,
10/26/1983,,91,80,
10/27/1983,67,92,80,
10/28/1983,,95,79,
10/29/1983,,89,79,
10/30/1983,68,89,78,
10/31/1983,64,95,78,
11/1/1983,62,92,76,
11/2/1983,67,,79,
11/3/1983,68,89,77,
11/4/1983,68,89,77,
11/5/1983,68,87,77,
11/6/1983,66,94,78,
11/7/1983,63,91,76,
11/8/1983,65,89,78,
11/9/1983,,87,76,
11/10/1983,64,87,75,
11/11/1983,65,87,76,
11/12/1983,67,88,75,
11/13/1983,53,90,74,
11/14/1983,59,90,74,
11/15/1983,65,85,76,
11/16/1983,,86,76,
11/17/1983,,87,75,
11/18/1983,63,83,73,
11/19/1983,,84,73,
11/20/1983,63,,73,
11/21/1983,62,85,73,
11/22/1983,,,74,
11/23/1983,63,84,73,
11/24/1983,,83,72,
11/25/1983,63,,72,
11/26/1983,,82,72,
11/27/1983,,86,72,
11/28/1983,,87,71,
11/29/1983,61,85,72,
11/30/1983,63,83,72,
12/1/1983,,85,72,
12/2/1983,62,83,71,
12/3/1983,62,82,71,
12/4/1983,63,86,72,
12/5/1983,60,82,71,
12/6/1983,60,84,71,
12/7/1983,59,83,71,
12/8/1983,62,81,71,
12/9/1983,62,81,71,
12/10/1983,62,82,71,
12/11/1983,62,81,71,
12/12/1983,64,82,72,
12/13/1983,,78,72,
12/14/1983,61,78,71,
12/15/1983,,77,69,
12/16/1983,58,79,67,
12/17/1983,58,77,67,
12/18/1983,,79,69,
12/19/1983,,77,68,
12/20/1983,58,74,68,
12/21/1983,,75,64,
12/22/1983,50,75,62,
12/23/1983,,76,64,
12/24/1983,53,74,63,
12/25/1983,52,76,63,
12/26/1983,50,75,63,
12/27/1983,52,75,67,
12/28/1983,,74,67,
12/29/1983,57,76,68,
12/30/1983,62,,70,
12/31/1983,62,76,69,
1/1/1984,59,75,66,
1/2/1984,55,78,65,
1/3/1984,,74,64,
1/4/1984,,77,65,
1/5/1984,53,,66,
1/6/1984,52,77,67,
1/7/1984,58,75,65,
1/8/1984,48,80,66,
1/9/1984,55,77,65,
1/10/1984,54,75,64,
1/11/1984,,76,67,
