DATE,TAVG
2/6/1973,88
5/18/1973,80
5/30/1973,81
6/3/1973,82
8/26/1973,81
8/30/1973,81
8/31/1973,80
9/18/1973,84
9/20/1973,78
11/23/1973,84
11/28/1973,78
12/2/1973,81
12/19/1973,79
12/24/1973,78
3/11/1974,86
3/23/1974,76
3/24/1974,82
3/26/1974,82
4/25/1974,82
5/1/1974,85
5/11/1974,80
5/15/1974,78
6/18/1974,78
6/27/1974,73
7/11/1974,79
7/15/1974,77
7/19/1974,77
7/30/1974,75
8/12/1974,78
8/16/1974,78
8/18/1974,73
8/19/1974,76
8/21/1974,77
8/24/1974,79
8/30/1974,77
9/1/1974,76
9/3/1974,76
9/4/1974,78
9/5/1974,74
9/8/1974,78
9/9/1974,78
9/10/1974,75
9/11/1974,76
9/12/1974,74
9/14/1974,79
9/17/1974,76
9/18/1974,75
9/20/1974,77
9/25/1974,75
9/26/1974,78
10/3/1974,78
10/5/1974,78
10/6/1974,79
10/13/1974,75
10/14/1974,73
10/18/1974,81
10/22/1974,79
10/24/1974,76
10/27/1974,79
10/29/1974,81
11/1/1974,76
11/4/1974,81
11/7/1974,78
11/8/1974,79
11/9/1974,76
11/11/1974,80
11/12/1974,81
11/15/1974,80
12/7/1974,77
9/12/1975,76
10/28/1975,78
12/4/1975,80
12/9/1975,82
2/1/1976,82
3/4/1976,80
3/13/1976,79
3/17/1976,82
3/20/1976,79
4/2/1976,76
4/3/1976,79
4/5/1976,88
10/7/1976,78
1/29/1977,77
7/16/1978,79
8/10/1978,80
8/6/1979,78
10/25/1979,80
1/7/1986,81
4/13/1991,84
10/4/1991,79
2/3/1994,83
2/24/1994,83
4/15/1994,80
10/1/1998,77
10/2/1998,82
10/3/1998,81
10/5/1998,77
10/6/1998,82
10/7/1998,81
10/8/1998,81
10/9/1998,81
10/10/1998,80
10/11/1998,76
10/12/1998,79
10/13/1998,81
10/14/1998,81
10/15/1998,81
10/16/1998,82
10/17/1998,80
10/19/1998,83
10/20/1998,77
10/21/1998,81
10/23/1998,76
10/24/1998,82
10/25/1998,83
10/26/1998,81
10/27/1998,83
10/28/1998,83
10/29/1998,84
10/30/1998,80
10/31/1998,82
11/1/1998,84
11/2/1998,84
11/3/1998,82
11/4/1998,83
11/5/1998,86
11/6/1998,84
11/7/1998,82
11/8/1998,82
11/9/1998,82
11/10/1998,81
11/12/1998,82
11/13/1998,83
11/14/1998,83
11/16/1998,83
11/17/1998,83
11/20/1998,86
11/21/1998,84
11/22/1998,83
11/23/1998,84
11/24/1998,81
11/25/1998,84
11/26/1998,84
11/27/1998,84
11/29/1998,85
11/30/1998,83
12/17/1998,82
12/18/1998,81
12/19/1998,81
12/20/1998,81
12/23/1998,84
12/24/1998,83
12/26/1998,86
12/27/1998,85
12/28/1998,84
12/31/1998,85
1/3/1999,85
