DATE,PRCP,TAVG,TMAX,TMIN
1/1/1957,,66,,
1/2/1957,,66,77,59
1/3/1957,,63,75,59
1/4/1957,,62,71,
1/5/1957,,66,,57
1/6/1957,,66,76,58
1/7/1957,,66,,59
1/8/1957,,66,76,
1/9/1957,,66,,
1/10/1957,,68,,51
1/11/1957,,67,80,
1/12/1957,,67,80,53
1/13/1957,,66,80,53
1/14/1957,,64,,
1/15/1957,,64,,
1/16/1957,,65,,53
1/17/1957,,67,,
1/18/1957,,70,,52
1/19/1957,,70,83,58
1/20/1957,,70,,
1/21/1957,,70,84,57
1/22/1957,,71,,
1/23/1957,,69,87,58
1/24/1957,,67,84,60
1/25/1957,,64,78,60
1/26/1957,,66,,60
1/27/1957,,65,74,
1/28/1957,,67,,56
1/29/1957,,63,78,59
1/30/1957,,65,,
1/31/1957,,65,76,59
2/1/1957,,67,,59
2/2/1957,,65,78,
2/3/1957,,66,,57
2/4/1957,,65,79,57
2/5/1957,,65,75,
2/6/1957,,65,,
2/7/1957,,65,,
2/8/1957,,65,75,55
2/9/1957,,65,75,55
2/10/1957,,65,,
2/11/1957,,68,,55
2/12/1957,,67,80,
2/13/1957,,65,78,
2/14/1957,,64,77,
2/15/1957,,65,,
2/16/1957,,67,,50
2/17/1957,,69,81,53
2/18/1957,,69,,
2/19/1957,,67,81,56
2/20/1957,,65,78,
2/21/1957,,67,,
2/22/1957,,67,79,55
2/23/1957,,65,77,58
2/24/1957,,64,75,
2/25/1957,,63,,54
2/26/1957,,66,,
2/27/1957,,65,79,
2/28/1957,,68,,53
3/1/1957,,65,79,60
3/2/1957,,67,,
3/3/1957,,64,78,59
3/4/1957,,65,75,60
3/5/1957,,64,,
3/6/1957,,66,,
3/7/1957,,68,80,52
3/8/1957,,67,,
3/9/1957,,67,81,54
3/10/1957,,67,78,60
3/11/1957,,63,77,
3/12/1957,,66,,
3/13/1957,,69,,56
3/14/1957,,68,81,57
3/15/1957,,69,,57
3/16/1957,,69,82,
3/17/1957,,67,82,55
3/18/1957,,66,79,
3/19/1957,,66,75,
3/20/1957,,65,75,57
3/21/1957,,66,,
3/22/1957,,66,77,
3/23/1957,,66,,
3/24/1957,,69,80,55
3/25/1957,,69,80,60
3/26/1957,,70,,62
3/27/1957,,69,,62
3/28/1957,,68,82,
3/29/1957,,66,79,58
3/30/1957,,68,,58
3/31/1957,,68,,59
4/1/1957,,69,,
4/2/1957,,69,,
4/3/1957,,69,83,57
4/4/1957,,69,81,59
4/5/1957,,69,79,61
4/6/1957,,69,,61
4/7/1957,,69,,
4/8/1957,,70,,59
4/9/1957,,67,81,
4/10/1957,,69,,58
4/11/1957,,70,,60
4/12/1957,,69,80,61
4/13/1957,,65,78,
4/14/1957,,65,,
4/15/1957,,66,77,58
4/16/1957,,66,76,60
4/17/1957,,65,75,
4/18/1957,,66,,
4/19/1957,,67,,
4/20/1957,,67,,58
4/21/1957,,67,80,
4/22/1957,,65,75,60
4/23/1957,,64,,
4/24/1957,,67,,60
4/25/1957,,67,77,60
4/26/1957,,64,77,60
4/27/1957,,65,,60
4/28/1957,,66,,60
4/29/1957,,66,76,60
4/30/1957,,67,,61
5/1/1957,,64,77,
5/2/1957,,67,,60
5/3/1957,,68,,
5/4/1957,,67,78,60
5/5/1957,,66,76,61
5/6/1957,,65,76,
5/7/1957,,66,,
5/8/1957,,65,75,59
5/9/1957,,64,73,60
5/10/1957,,66,,60
5/11/1957,,66,75,60
5/12/1957,,66,,60
5/13/1957,,66,77,60
5/14/1957,,65,76,61
5/15/1957,,65,,61
5/16/1957,,65,,61
5/17/1957,,65,74,61
5/18/1957,,65,,
5/19/1957,,65,74,59
5/20/1957,,65,73,60
5/21/1957,,65,73,60
5/22/1957,,65,,
5/23/1957,,64,72,58
5/24/1957,,65,,57
5/25/1957,,66,,57
5/26/1957,,66,,57
5/27/1957,,65,79,59
5/28/1957,,62,75,
5/29/1957,,62,71,58
5/30/1957,,62,70,59
5/31/1957,,63,,59
6/1/1957,,65,,
6/2/1957,,66,,
6/3/1957,,67,78,55
6/4/1957,,66,77,57
6/5/1957,,65,75,
6/6/1957,,67,,
6/7/1957,,66,75,57
6/8/1957,,64,75,57
6/9/1957,,65,,
6/10/1957,,66,,57
6/11/1957,,64,77,
6/12/1957,,64,72,55
6/13/1957,,65,,
6/14/1957,,61,75,
6/15/1957,,62,,54
6/16/1957,,62,71,56
6/17/1957,,62,,
6/18/1957,,63,,53
6/19/1957,,64,,
6/20/1957,,63,76,
6/21/1957,,63,75,54
6/22/1957,,60,71,
6/23/1957,,61,66,
6/24/1957,,61,,57
6/25/1957,,62,,57
6/26/1957,,59,68,
6/27/1957,,62,,52
6/28/1957,,59,72,
6/29/1957,,60,70,50
6/30/1957,,61,,
7/1/1957,,62,,50
7/2/1957,,65,,51
7/3/1957,,64,74,
7/4/1957,,58,74,53
7/5/1957,,61,,
7/6/1957,,61,70,52
7/7/1957,,63,70,55
7/8/1957,,62,,
7/9/1957,,62,72,53
7/10/1957,,59,69,
7/11/1957,,58,65,55
7/12/1957,,61,,
7/13/1957,,63,,55
7/14/1957,,62,72,56
7/15/1957,,63,,
7/16/1957,,59,74,54
7/17/1957,,58,65,55
7/18/1957,,59,,
7/19/1957,,59,,
7/20/1957,,60,71,48
7/21/1957,,60,,
7/22/1957,,62,,47
7/23/1957,,60,74,47
7/24/1957,,60,66,52
7/25/1957,,62,,56
7/26/1957,,62,,57
7/27/1957,,62,71,
7/28/1957,,64,,55
7/29/1957,,63,73,
7/30/1957,,63,73,51
7/31/1957,,61,71,57
8/1/1957,,62,,55
8/2/1957,,61,69,56
8/3/1957,,64,,56
8/4/1957,,61,75,54
8/5/1957,,62,,
8/6/1957,,59,72,
8/7/1957,,60,68,47
8/8/1957,,62,,55
8/9/1957,,61,70,
8/10/1957,,63,,
8/11/1957,,64,,49
8/12/1957,,65,77,53
8/13/1957,,66,,57
8/14/1957,,62,77,
8/15/1957,,62,69,52
8/16/1957,,62,,55
8/17/1957,,59,71,
8/18/1957,,63,,52
8/19/1957,,61,74,54
8/20/1957,,60,,56
8/21/1957,,64,,56
8/22/1957,,64,76,56
8/23/1957,,64,76,57
8/24/1957,,61,75,
8/25/1957,,58,66,
8/26/1957,,62,,56
8/27/1957,,63,,56
8/28/1957,,60,72,56
8/29/1957,,63,,
8/30/1957,,58,73,55
8/31/1957,,61,,55
9/1/1957,,65,,
9/2/1957,,63,78,
9/3/1957,,64,76,54
9/4/1957,,63,75,
9/5/1957,,63,74,55
9/6/1957,,60,74,
9/7/1957,,63,,54
9/8/1957,,62,,55
9/9/1957,,65,,
9/10/1957,,61,78,51
9/11/1957,,65,,
9/12/1957,,65,,57
9/13/1957,,65,78,57
9/14/1957,,66,,57
9/15/1957,,67,,57
9/16/1957,,64,81,
9/17/1957,,63,78,
9/18/1957,,64,,
9/19/1957,,64,78,53
9/20/1957,,66,,56
9/21/1957,,65,78,57
9/22/1957,,65,,
9/23/1957,,65,,
9/24/1957,,66,,
9/25/1957,,68,81,50
9/26/1957,,67,,
9/27/1957,,68,,55
9/28/1957,,68,,
9/29/1957,,68,83,53
9/30/1957,,69,82,55
10/1/1957,,69,80,59
10/2/1957,,68,80,59
10/3/1957,,69,,
10/4/1957,,70,,59
10/5/1957,,69,83,
10/6/1957,,67,83,60
10/7/1957,,66,,
10/8/1957,,66,79,57
10/9/1957,,67,,57
10/10/1957,,67,79,57
10/11/1957,,65,78,57
10/12/1957,,67,,59
10/13/1957,,69,,
10/14/1957,,69,,58
10/15/1957,,67,82,
10/16/1957,,66,80,59
10/17/1957,,64,76,
10/18/1957,,66,,
10/19/1957,,66,,
10/20/1957,,66,81,52
10/21/1957,,67,,
10/22/1957,,69,,54
10/23/1957,,69,82,59
10/24/1957,,69,81,60
10/25/1957,,69,81,
10/26/1957,,67,79,58
10/27/1957,,68,,
10/28/1957,,66,79,58
10/29/1957,,66,,59
10/30/1957,,65,74,59
10/31/1957,,66,,60
11/1/1957,,63,77,
11/2/1957,,65,,
11/3/1957,,67,,58
11/4/1957,,67,79,60
11/5/1957,,62,79,
11/6/1957,,65,,
11/7/1957,,67,,58
11/8/1957,,67,78,58
11/9/1957,,69,,59
11/10/1957,,68,80,60
11/11/1957,,69,,61
11/12/1957,,68,,
11/13/1957,,67,80,59
11/14/1957,,66,,
11/15/1957,,64,77,
11/16/1957,,65,73,
11/17/1957,,64,73,57
11/18/1957,,65,,
11/19/1957,,65,75,59
11/20/1957,,65,74,
11/21/1957,,64,74,59
11/22/1957,,66,,60
11/23/1957,,66,74,60
11/24/1957,,64,74,
11/25/1957,,64,,
11/26/1957,,63,73,59
11/27/1957,,63,71,59
11/28/1957,,63,71,59
11/29/1957,,65,,60
11/30/1957,,65,75,60
12/1/1957,,65,,
12/2/1957,,67,,58
12/3/1957,,64,77,
12/4/1957,,65,74,60
12/5/1957,,66,,60
12/6/1957,,65,75,61
12/7/1957,,66,,
12/8/1957,,66,,
12/9/1957,,65,77,
12/10/1957,,63,73,56
12/11/1957,,66,,
12/12/1957,,67,75,60
12/13/1957,,66,75,
12/14/1957,,65,75,59
12/15/1957,,65,,
12/16/1957,,64,75,
12/17/1957,,66,,54
12/18/1957,,66,76,59
12/19/1957,,66,,
12/20/1957,,67,,56
12/21/1957,,68,78,58
12/22/1957,,67,,61
12/23/1957,,67,80,62
12/24/1957,,67,,
12/25/1957,,67,77,
12/26/1957,,65,76,59
12/27/1957,,66,,59
12/28/1957,,67,,59
12/29/1957,,67,78,
12/30/1957,,67,78,57
12/31/1957,,65,77,
1/1/1958,,65,74,
1/2/1958,,64,,57
1/3/1958,,65,,
1/4/1958,,68,,52
1/5/1958,,68,80,57
1/6/1958,,67,,
1/7/1958,,67,80,
