Date,Minimum,Maximum,Temperature,Average
2/6/1973,57.3,71.7,66.3,
2/7/1973,48.3,71.7,60,
2/8/1973,55.5,77.1,66.9,
2/9/1973,55.5,77.1,65.5,
2/10/1973,60.9,73.5,67.2,
2/11/1973,59.1,66.3,62.7,
2/12/1973,53.7,73.5,64,
2/13/1973,53.7,77.1,62.4,
2/14/1973,60.9,80.7,70.8,
2/15/1973,60.9,82.5,71.1,
2/16/1973,64.5,78.9,71.2,
2/17/1973,57.3,71.7,65.1,
2/18/1973,46.5,78.9,64.8,
2/19/1973,53.7,80.7,71.7,
2/20/1973,55.5,80.7,71.3,
2/21/1973,73.5,89.7,83.6,
2/22/1973,62.7,95.1,82.5,
2/23/1973,62.7,89.7,72.6,
2/24/1973,60.9,89.7,75,
2/25/1973,59.1,77.1,69.3,
2/26/1973,51.9,77.1,66.3,
2/27/1973,55.5,78.9,67.6,
2/28/1973,68.1,93.3,77.5,
3/1/1973,73.5,96.9,86.8,
3/2/1973,69.9,95.1,83.4,
3/3/1973,73.5,80.7,78.3,
3/4/1973,62.7,68.1,64.8,
3/5/1973,51.9,78.9,64.5,
3/6/1973,59.1,89.7,74.7,
3/7/1973,57.3,77.1,64.8,
3/8/1973,55.5,78.9,67.8,
3/9/1973,53.7,69.9,59.5,
3/10/1973,68.1,77.1,72.1,
3/11/1973,62.7,78.9,72.4,
3/12/1973,62.7,84.3,74.1,
3/13/1973,53.7,78.9,69.5,
3/14/1973,57.3,82.5,73,
3/15/1973,66.3,93.3,82.8,
3/16/1973,69.9,87.9,78.9,
3/17/1973,57.3,77.1,67.1,
3/18/1973,51.9,82.5,68.6,
3/19/1973,55.5,82.5,68.9,
3/20/1973,60.9,89.7,76.2,
3/21/1973,82.5,95.1,89.2,
3/22/1973,64.5,93.3,77.1,
3/23/1973,59.1,78.9,69.9,
3/24/1973,59.1,73.5,66.6,
3/25/1973,55.5,75.3,67.2,
3/26/1973,53.7,80.7,67.5,
3/27/1973,59.1,82.5,70.8,
3/28/1973,75.3,96.9,88.8,
3/29/1973,73.5,87.9,79.6,
3/30/1973,73.5,86.1,79.7,
3/31/1973,68.1,95.1,83.5,
4/1/1973,71.7,98.7,85.6,
4/2/1973,69.9,82.5,77.1,
4/3/1973,77.1,89.7,84.3,
4/4/1973,77.1,100.5,89,
4/5/1973,69.9,95.1,82.7,
4/6/1973,66.5,91.5,78.9,
4/7/1973,64.5,89.7,77.3,
4/8/1973,68.1,91.5,81.5,
4/9/1973,66.3,80.7,73.5,
4/10/1973,64.5,73.5,69,
4/11/1973,57.3,69.9,63.2,
4/12/1973,59.1,84.3,71,
4/13/1973,64.5,87.9,77.1,
4/14/1973,71.7,91.5,81.6,
4/15/1973,75.3,96.9,84.6,
4/16/1973,73.5,93.3,85.5,
4/17/1973,77.1,89.7,84.9,
4/18/1973,73.5,96.9,85.4,
4/19/1973,69.9,100.5,86.1,
4/20/1973,69.9,95.1,83.1,
4/21/1973,78.9,100.5,91.5,
4/22/1973,77.1,102.3,89.3,
4/23/1973,78.9,95.1,86.7,
4/24/1973,64.5,91.5,79.4,
4/25/1973,66.3,91.5,80.2,
4/26/1973,73.5,78.9,75.9,
4/27/1973,75.3,105.9,85.4,
4/28/1973,71.7,89.7,81.9,
4/29/1973,75.3,100.5,89.7,
4/30/1973,77.1,100.5,90.7,
5/1/1973,77.1,91.5,83.4,
5/2/1973,68.1,89.7,78.3,
5/3/1973,71.7,104.1,86.8,
5/4/1973,80.7,95.1,88.2,
5/5/1973,77.1,87.9,80.7,
5/6/1973,75.3,91.5,81.9,
5/7/1973,80.7,100.5,89.9,
5/8/1973,78.9,104.1,92.4,
5/9/1973,105.9,105.9,105.9,
5/10/1973,77.1,105.9,95.4,
5/11/1973,80.7,102.3,95.1,
5/12/1973,77.1,98.7,88.2,
5/13/1973,71.7,98.7,84,
5/14/1973,73.5,105.9,90.2,
5/15/1973,77.1,100.5,89.7,
5/16/1973,80.7,91.5,86.1,
5/17/1973,71.7,100.5,84.3,
5/18/1973,77.1,91.5,84.3,
5/19/1973,64.5,93.3,82.5,
5/20/1973,69.9,96.9,82.5,
5/21/1973,75.3,98.7,86.1,
5/22/1973,75.3,104.1,88.8,
5/23/1973,77.1,96.9,88.5,
5/24/1973,75.3,93.3,83.7,
5/25/1973,82.5,100.5,91.5,
5/26/1973,77.1,104.1,88.8,
5/27/1973,78.9,109.5,97.3,
5/28/1973,80.7,87.9,84.3,
5/29/1973,82.5,91.5,86.1,
5/30/1973,80.7,109.5,90.1,
5/31/1973,77.1,95.1,87.6,
6/1/1973,78.9,95.1,87.4,
6/2/1973,77.1,105.9,90.6,
6/3/1973,82.5,95.1,87.4,
6/4/1973,86.1,104.1,94.2,
6/5/1973,73.5,91.5,83.2,
6/6/1973,73.5,89.7,80.7,
6/7/1973,77.1,100.5,93.5,
6/8/1973,77.1,105.9,90.9,
6/9/1973,82.5,93.3,87.9,
6/10/1973,80.7,98.7,89.7,
6/11/1973,75.3,89.7,81.3,
6/12/1973,80.7,93.3,88.5,
6/13/1973,78.9,107.7,93.7,
6/14/1973,77.1,102.3,89.9,
6/15/1973,75.3,100.5,84.9,
6/16/1973,89.7,96.9,92.1,
6/17/1973,75.3,102.3,91.2,
6/18/1973,77.1,102.3,92.8,
6/19/1973,73.5,95.1,83.8,
6/20/1973,86.1,98.7,90.9,
6/21/1973,71.7,86.1,78.9,
6/22/1973,71.7,96.9,87.9,
6/23/1973,71.7,98.7,85.3,
6/24/1973,71.7,77.1,74.4,
6/25/1973,73.5,93.3,83.4,
6/26/1973,80.7,95.1,89.1,
6/27/1973,77.1,95.1,86.1,
6/28/1973,80.7,104.1,96,
6/29/1973,84.3,84.3,84.3,
6/30/1973,82.5,109.5,93.7,
7/1/1973,95.1,105.9,98.7,
7/2/1973,78.9,104.1,92.7,
7/3/1973,93.3,104.1,99.9,
7/4/1973,91.5,104.1,98.7,
7/5/1973,75.3,100.5,89.1,
7/6/1973,77.1,104.1,93.7,
7/7/1973,78.9,102.3,91.8,
7/8/1973,77.1,95.1,83.7,
7/9/1973,77.1,107.7,94.1,
7/10/1973,82.5,104.1,96.1,
7/11/1973,82.5,98.7,92.6,
7/12/1973,84.3,104.1,94.5,
7/13/1973,82.5,104.1,95.1,
7/14/1973,78.9,104.1,97.2,
7/15/1973,80.7,100.5,92.4,
7/16/1973,78.9,105.9,95.4,
7/17/1973,84.3,102.3,94.7,
7/18/1973,78.9,104.1,94.5,
7/19/1973,77.1,105.9,96.3,
7/20/1973,80.7,107.7,94.8,
7/21/1973,86.1,109.5,97.3,
7/22/1973,80.7,107.7,96,
7/23/1973,84.3,105.9,96.5,
7/24/1973,82.5,109.5,92.5,
7/25/1973,87.9,104.1,95.1,
7/26/1973,78.9,109.5,97.5,
7/27/1973,77.1,107.7,90.4,
7/28/1973,80.7,109.5,94,
7/29/1973,100.5,111.3,106.8,
7/30/1973,96.9,105.9,102.9,
7/31/1973,87.9,111.3,101.2,
8/1/1973,80.7,109.5,98.9,
8/2/1973,80.7,107.7,99.8,
8/3/1973,84.3,107.7,100.2,
8/4/1973,80.7,109.5,90.1,
8/5/1973,86.1,107.7,99.2,
8/6/1973,86.1,109.5,98.7,
8/7/1973,80.7,111.3,98.1,
8/8/1973,87.9,113.1,103.5,
8/9/1973,91.5,102.3,97.3,
8/10/1973,87.9,113.1,102.7,
8/11/1973,91.5,109.5,100,
8/12/1973,89.7,113.1,102.1,
8/13/1973,96.9,113.1,105,
8/14/1973,82.5,113.1,96.9,
8/15/1973,91.5,105.9,99.4,
8/16/1973,95.1,105.9,98.2,
8/17/1973,93.3,109.5,101.2,
8/18/1973,95.1,109.5,104.1,
8/19/1973,78.9,109.5,97.2,
8/20/1973,78.9,109.5,100.5,
8/21/1973,78.9,96.9,87.3,
8/22/1973,82.5,107.7,95.1,
8/23/1973,80.7,109.5,94.5,
8/24/1973,89.7,111.3,101.6,
8/25/1973,84.3,111.3,99.8,
8/26/1973,82.5,107.7,95.9,
